name,pos,age,team,games,3PM,3PA,3%,PPG
Kareem Abdul-Jabbar,C,32,LAL,82,0.0,0.0,.000,24.8
Tom Abernethy,PF,25,GSW,67,0.0,0.0,.000,5.4
Alvan Adams,C,25,PHO,75,0.0,0.0,.000,14.9
Tiny Archibald,PG,31,BOS,80,0.1,0.2,.222,14.1
Dennis Awtrey,C,31,CHI,26,0.0,0.0,,3.3
Gus Bailey,SG,28,WSB,20,0.1,0.1,1.000,1.9
James Bailey,PF,22,SEA,67,0.0,0.0,,4.7
Greg Ballard,SF,25,WSB,82,0.2,0.6,.340,15.6
Mike Bantom,SF,28,IND,77,0.0,0.0,.333,11.8
Marvin Barnes,PF,27,SDC,20,0.0,0.0,,3.2
Rick Barry,SF,35,HOU,72,1.0,3.1,.330,12.0
Tim Bassett,PF,28,NJN,7,0.0,0.0,,3.4
Tim Bassett,PF,28,SAS,5,0.0,0.0,,2.0
Billy Ray Bates,SG,23,POR,16,0.5,1.2,.421,11.3
Ron Behagen,PF,29,WSB,6,0.0,0.0,,3.8
Kent Benson,C,25,MIL,56,0.0,0.0,.000,8.8
Kent Benson,C,25,DET,17,0.1,0.2,.250,12.1
Del Beshore,PG,23,CHI,68,0.1,0.4,.385,3.6
Henry Bibby,PG,30,PHI,82,0.1,0.6,.212,9.0
Larry Bird,PF,23,BOS,82,0.7,1.7,.406,21.3
Otis Birdsong,SG,24,KCK,82,0.1,0.4,.278,22.7
Ron Boone,SG,33,LAL,6,0.0,0.0,,5.7
Ron Boone,SG,33,UTA,75,0.3,0.7,.380,12.9
Lawrence Boston,PF,23,WSB,13,0.0,0.0,,4.3
Tom Boswell,PF,26,DEN,18,0.1,0.1,.500,11.3
Tom Boswell,PF,26,UTA,61,0.1,0.1,.500,11.5
Winford Boynes,SG,22,NJN,64,0.0,0.1,.000,8.5
Alonzo Bradley,SF,26,HOU,22,0.0,0.0,1.000,1.9
Dudley Bradley,SG,22,IND,82,0.0,0.1,.400,8.4
Mike Bratz,PG,24,PHO,82,0.3,1.0,.244,8.5
Jim Brewer,PF,28,POR,67,0.0,0.1,.000,2.9
Ron Brewer,SG,24,POR,82,0.1,0.4,.188,15.7
Junior Bridgeman,SF,26,MIL,81,0.1,0.3,.185,17.6
Allan Bristow,SF,28,UTA,82,0.0,0.1,.286,11.6
Fred Brown,SG,31,SEA,80,0.5,1.1,.443,12.0
John Brown,SF,28,UTA,4,0.0,0.0,,1.0
John Brown,SF,28,ATL,28,0.0,0.0,,3.9
Roger Brown,C,29,CHI,4,0.0,0.0,,0.5
Joe Bryant,PF,25,SDC,81,0.1,0.4,.147,9.3
